,Site,Type,Cover,Shade_Tree.Density,Mean_shadetree_DBH,Cocoa_density,Cocoa_Yield,Cocoa_Yield_Tree,Cocoa_DBH,Disease_total,Blackpod,Other.diseases,Mistletoe,Carbon,Nitrogen,Phosphorus,P.resin,CEC.eff,K.ex,Ca.ex,Mg.ex,Na.ex,pH,Bulk.density,Temp.Mean.Oct.2015,Temp.Mean.Oct.2016,Temp.Mean.Feb.2016,Temp.Mean.Feb.2017,Temp.Max.Oct.2015,Temp.Max.Oct.2016,Temp.Max.Feb.2016,Temp.Max.Feb.2017,RH.mean.Oct.2015,RH.mean.Oct.2016,RH.mean.Feb.2016,RH.mean.Feb.2017,RH.Min.Oct.2015,RH.Min.Oct.2016,RH.Min.Feb.2016,RH.Min.Feb.2017,Soil.moisture.Aug.2015,Soil.moisture.Feb.2016,Light_Sep.2016,Light_Feb.2016,ABG_Carbon_stocks ,Litter_Biomass,Tree.richness,Bird.richness,Ant.richness,Frog.richness
Units,,,(%),(shade trees ha-1),(cm),(cocoa trees ha-1),(kg ha-1 y-1),(kg tree-1 y-1),(cm),(%),(%),(%),(Nr. plants ha-1),(t ha-1),(t ha-1),(kg ha-1), (kg ha-1),(cmolc kg-1),(mg kg-1) ,(mg kg-1) ,(mg kg-1) ,(mg kg-1) ,, (g cm-³),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(t_C_ha-1 ),(kg_m2),(Nr. of species),(Nr. of species),(Nr. of species),(Nr. of species)
,G,Agro,14.0,22.22,34.5,1144.33,526.05,0.46,12.30,20.57,8.05,12.52,133.32,32.03,2.64,138.35,6.38,11.64,43.86,1988.61,195.67,5.67,7.04,1.24,25.91,25.66,26.62,27.19,32.91,33.28,37.11,36.20,86.73,87.76394409,64.01,75.1042003,57.59,58.88232258,25.65,38.85095714,28.63,17.17,75.88,89.71,13.38,0.86,4,10,9,2
,G,Mono,0.0,0,0,1111.00,409.59,0.37,12.57,16.19,5.88,10.32,288.86,25.04,2.18,83.46,5.25,8.75,41.86,1358.04,158.42,5.77,6.79,1.25,25.93,25.51,26.78,27.11,32.64,32.46,36.79,35.60,86.41,87.95351546,62.47,75.13517932,58.35,60.60548387,25.75,39.4725,25.41,13.79,100.00,100.00,9.27,1.13,1,3,5,2
,B,Agro,15.0,22.22,52.65,1177.66,682.93,0.58,11.41,22.16,7.25,14.91,355.52,31.74,2.90,129.16,34.61,8.27,38.12,1226.31,160.33,3.81,6.70,1.35,25.79,25.58,26.82,27.29,32.68,32.77,37.11,35.94,87.29,87.98787594,63.23,74.88142504,58.98,60.87506452,26.13,39.1658125,17.01,5.08,78.20,73.80,16.85,0.98,3,,,
,B,Mono,0.0,0,0,999.90,636.50,0.64,13.50,15.77,4.91,10.86,322.19,34.83,2.95,219.85,7.56,11.14,173.20,1445.97,225.75,5.04,6.90,1.30,26.02,25.78,26.96,27.23,34.05,33.94,38.10,35.60,86.63,87.01541196,63.46,74.10810789,54.74,60.65722581,25.46,41.53332143,17.14,6.75,100.00,100.00,9.67,1.27,1,,,
,M,Agro,23.4,22.22,53.4,1133.22,439.43,0.39,11.71,26.75,5.42,21.33,33.33,28.88,2.18,92.65,6.62,9.25,56.51,1988.04,142.23,5.04,7.18,1.36,25.92,25.50,26.68,27.22,32.59,32.55,37.24,36.72,86.43,88.15865376,64.24,75.05009286,58.08,60.90917419,25.67,37.74957143,19.53,5.62,62.37,78.07,28.03,1.11,3,,,
,M,Mono,0.0,0,0,1444.30,654.05,0.45,11.79,19.47,5.00,14.47,55.55,31.26,2.56,103.00,11.10,10.40,50.62,1815.17,178.52,4.61,7.19,1.42,25.90,25.46,26.64,27.04,32.71,32.81,37.17,35.98,86.48,88.26017675,64.19,75.53913095,57.05,59.51180645,25.18,38.76021429,23.71,6.88,100.00,100.00,10.37,1.33,1,,,
,W,Agro,24.0,11.11,55.5,877.69,612.56,0.70,14.79,17.18,8.77,8.41,177.76,49.42,4.68,306.15,12.24,18.26,86.01,2935.36,375.85,6.43,7.07,1.16,25.84,25.46,28.62,28.07,32.27,31.42,36.62,35.02,85.2,87.56411989,55.11,71.66048765,59.17,65.02576774,26.21,40.6496,23.54,18.89,92.86,78.99,15.98,0.96,3,9,15,2
,W,Mono,0.0,0,0,799.92,650.33,0.81,16.15,13.11,7.66,5.45,333.30,50.92,4.96,332.54,24.78,19.34,72.16,2842.76,387.90,8.50,7.06,1.22,25.76,25.52,28.65,28.07,32.60,32.06,37.09,35.42,85.22,86.15150336,54.97,70.91882589,57.56,61.32048387,25.47,39.20778571,21.77,16.68,100.00,100.00,11.57,1.22,2,3,11,2
,Q,Agro,24.6,44.44,32.45,1466.52,584.23,0.40,12.88,18.67,5.21,13.46,244.42,33.42,2.63,140.06,9.29,11.38,57.24,2018.66,190.91,3.58,7.11,1.27,26.00,25.70,26.97,27.46,33.12,33.52,37.87,36.55,86.01,87.18678293,63.18,73.81739825,56.92,58.34412097,25.03,37.86153571,21.41,5.20,74.90,100.00,23.30,1.15,4,7,14,4
,Q,Mono,0.0,0,0,1288.76,868.79,0.67,12.48,15.07,7.72,7.35,66.66,31.01,2.60,89.63,20.67,10.57,39.56,1878.84,163.75,3.97,7.11,1.31,26.18,25.72,26.88,27.25,33.10,33.49,37.48,36.11,85.28,87.69701747,62.78,74.82728348,56.91,57.29196774,25.38,38.05589286,23.37,5.49,100.00,100.00,10.59,1.29,1,4,13,3
,D,Agro,25.1,33.33,33.633,1933.14,785.78,0.41,9.69,16.36,9.69,6.67,55.55,21.34,1.85,50.30,7.91,5.63,44.54,855.76,123.56,3.45,6.56,1.27,25.93,25.61,26.24,26.76,32.99,33.16,37.43,36.24,87.32,88.22283589,66.83,77.689075,57.53,59.44467742,24.74,38.43327143,21.81,5.27,73.65,87.19,17.00,0.94,4,,,
,D,Mono,0.0,0,0,1477.63,790.08,0.53,11.22,14.83,8.07,6.76,333.30,23.19,2.10,64.74,9.27,6.54,31.49,1146.94,134.55,4.66,7.02,1.30,26.10,25.61,26.23,26.70,34.44,34.14,38.33,36.85,86.65,87.79818884,67.28,75.46191667,53.34,56.61667742,23.89,38.30610714,21.54,6.79,100.00,100.00,9.75,1.24,1,,,
,N,Agro,26.1,33.33,44.767,1266.54,712.53,0.56,12.88,15.96,5.38,10.57,,36.10,2.70,107.87,10.66,10.37,53.06,1901.93,149.91,4.64,7.10,1.40,25.86,25.44,26.60,27.03,32.01,31.94,36.72,35.15,86.58,88.14249866,64.18,75.27801488,59.24,62.09415323,25.94,39.97139286,22.68,6.41,63.63,78.66,34.25,1.16,3,10,7,5
,N,Mono,0.0,0,0,1144.33,543.68,0.48,13.32,26.97,5.77,21.20,,34.62,2.97,139.21,19.58,11.09,57.28,1857.67,242.36,3.79,7.27,1.40,25.98,25.46,26.82,27.04,32.77,32.81,37.02,35.98,85.82,88.26017675,62.98,75.53913095,57.06,59.51180645,25.81,38.76021429,22.06,6.20,100.00,100.00,10.96,1.2,2,2,9,4
,J,Agro,31.6,33.33,67.5,1177.66,570.81,0.48,12.55,18.19,7.39,10.79,177.76,35.65,2.94,124.88,6.36,11.78,46.31,1909.75,158.64,4.33,7.10,1.23,25.83,25.43,26.36,26.88,32.13,32.00,36.54,35.41,86.84,88.2213703,65.28,75.4337061,59.9,62.72663226,26.39,40.02594286,22.16,6.80,64.56,57.55,44.64,1.22,4,13,11,4
,J,Mono,0.0,0,0,966.57,545.84,0.56,13.89,16.39,5.15,11.24,255.53,29.81,2.51,166.58,4.75,10.15,50.18,1651.86,188.30,5.96,6.89,1.27,26.06,25.78,26.59,27.06,33.47,33.68,37.46,36.42,86.5,87.81485148,65.16,76.74609673,55.04,57.3233871,25.12,38.96185714,27.27,9.80,100.00,100.00,9.88,1.22,1,3,8,5
,T,Agro,31.8,77.77,25.671,877.69,479.00,0.55,11.19,20.12,6.93,13.19,455.51,35.31,3.02,207.35,9.70,10.46,90.38,1540.13,252.52,7.51,6.45,1.04,25.82,25.47,27.99,27.75,32.29,31.97,36.87,34.77,86.44,87.79395548,57.89,72.29273785,59.36,62.40837097,25.67,40.15672619,14.65,5.37,60.88,68.49,15.66,1.06,4,13,16,2
,T,Mono,0.0,0,0,844.36,531.83,0.63,12.95,15.32,5.74,9.58,999.90,38.40,3.69,235.20,7.50,13.42,87.33,2129.48,203.01,7.34,6.97,1.08,25.87,25.64,27.65,27.88,32.91,32.90,36.73,35.80,85.95,87.17062097,58.78,71.85004241,57.91,59.38219355,26.18,38.68210714,14.61,6.98,100.00,100.00,7.56,1.71,1,5,14,2
