조사일,생장길이(cm),열매수(개)
2017-03-05,0.0,13.0
2017-03-12,193.0,13.0
2017-03-19,190.0,13.0
2017-03-26,178.0,19.0
2017-04-02,168.0,13.0
2017-04-09,2624.0,19.0
2017-04-16,220.0,16.0
2017-04-23,2861.0,14.0
2017-04-30,148.0,17.0
2017-05-07,200.0,15.0
2017-05-14,260.0,18.0
2017-05-21,200.0,17.0
2017-05-28,0.0,0.0
2017-11-05,1038.0,3.0
2017-11-12,198.0,6.0
2017-11-19,155.0,8.0
2017-11-26,110.0,11.0
2017-12-03,103.0,10.0
2017-12-10,48.0,12.0
2017-12-17,78.0,14.0
2017-12-24,85.0,16.0
2017-12-31,73.0,18.0
2018-01-07,58.0,17.0
2018-01-14,65.0,18.0
2018-01-21,70.0,17.0
2018-01-28,55.0,16.0
2018-02-04,40.0,17.0
2018-02-11,63.0,19.0
2018-02-18,90.0,19.0
2018-02-25,55.0,20.0
2018-03-04,33.0,20.0
