수집일,내부CO2(ppm),내부습도(%),외부온도(도),내부온도(도)
2017-12-11,792.38,92.71,0.38,11.67
2017-12-12,836.67,85.42,-3.17,12
2017-12-13,899.13,79.42,-3.25,13.42
2017-12-14,1051.46,81.04,-3.92,14.67
2017-12-15,1461.25,85.96,-1.42,17.88
2017-12-16,1308.33,89.54,-0.21,17
2017-12-17,1211.04,88.08,-3.5,18.13
2017-12-18,1293.17,88.17,-0.38,18.58
2017-12-19,1233.63,90,-0.08,16.54
2017-12-20,1232.71,89.04,0.25,19.46
2017-12-21,1134.38,93.83,0.58,18.96
2017-12-22,1203.54,99.63,-0.29,18.79
2017-12-23,921.83,99.63,3.21,18.38
2017-12-24,711.33,99.75,6.79,16.29
2017-12-25,623.21,99.63,2.04,15.96
2017-12-26,680.96,90.08,0.63,15.5
2017-12-27,665.04,65.17,-1.5,16.04
2017-12-28,737.13,68,-1.92,14.21
2017-12-29,824.17,80.29,2.46,16.04
2017-12-30,739.83,82.17,4.17,15.08
2017-12-31,655.67,74.33,3.63,15.13
2018-01-01,712.17,66.67,0.04,15.5
2018-01-02,736.79,69.08,0.13,15.42
2018-01-03,684.04,66.46,-0.54,14.58
2018-01-04,685.5,72.42,-0.63,13.71
2018-01-05,677.71,76.75,0.92,15.21
2018-01-06,667.17,71.67,1.83,15.88
2018-01-07,925.71,80.33,0.83,14.96
2018-01-08,962.83,88.08,3.71,14.17
2018-01-09,862.46,84.42,-0.38,13.96
2018-01-10,1049.67,85.63,-2.5,13
2018-01-11,1039.71,82.25,-5.67,13.46
2018-01-12,1040.79,73.25,-8.58,14.96
2018-01-13,986.92,74.42,-4.13,16.92
2018-01-14,950.13,75.33,-0.88,16.25
2018-01-15,673.38,75.79,3.08,17.67
2018-01-16,965.96,85.83,3.17,14.21
2018-01-17,853.33,86.79,4.96,15.17
2018-01-18,714.83,81.08,3.58,16.96
2018-01-19,725.33,77.5,0.71,17.75
2018-01-20,780.38,78.04,0.29,15.79
2018-01-21,827.42,77.08,0.83,14.75
2018-01-22,718.96,84.08,4.25,17.13
2018-01-23,661.13,83.5,-3.33,16.54
2018-01-24,729.58,79.13,-7.5,16.54
2018-01-25,671.67,77.83,-7.33,15.42
2018-01-26,736.54,79.63,-7.5,16.38
2018-01-27,735.21,79.67,-5.5,16.38
2018-01-28,664.71,82.83,-1,16.29
2018-01-29,696,83.79,-3.75,14.5
2018-01-30,702.58,81.38,-5.13,14.79
2018-01-31,765.42,86.25,-2.21,14.25
2018-02-01,775.54,80.96,-2.21,15.83
2018-02-02,713.21,84.92,-3.63,14.88
2018-02-03,718.5,88.75,-3.92,14.33
2018-02-04,666.88,89.17,-5.38,15.75
2018-02-05,688.88,88.13,-6.46,14.79
2018-02-06,592.58,89.88,-7.17,12.79
2018-02-07,694.92,86.17,-5.79,15.08
2018-02-08,719.88,85.13,-2.96,15.92
2018-02-09,673.25,88.42,1.88,15.88
2018-02-10,680.42,88.92,1.5,14.88
2018-02-11,681.42,92.25,-2.17,14.38
2018-02-12,640.25,92.38,-2.46,14
2018-02-13,654.04,87.58,0,15.96
2018-02-14,664.5,89.5,4.08,16.46
2018-02-15,624.79,91,2.46,15.58
2018-02-16,629.46,89.71,0.75,14.83
2018-02-17,632.29,85.38,0.71,15.5
2018-02-18,660.67,90.25,1.83,14.88
2018-02-19,641.83,90.46,4.13,15.38
2018-02-20,684.67,89.04,2.33,16
2018-02-21,631.79,90.5,1.96,14.42
2018-02-22,789.25,86.79,-0.88,16.13
2018-02-23,645.63,89.63,3.04,16.13
2018-02-24,650.63,88.21,3.79,17.38
2018-02-25,658.38,88.83,5.04,16.29
2018-02-26,786.71,79.92,2.58,16.08
2018-02-27,802.71,80.5,5.21,16.25
2018-02-28,932.08,97.17,7.63,15.29
2018-03-01,746.42,87.33,3.38,15.67
2018-03-02,766.5,80.71,2.46,16.17
2018-03-03,795.79,79.25,7.21,17.29
2018-03-04,712.83,91.75,12.58,16.83
2018-03-05,731.5,95.96,10.25,15.25
2018-03-06,748.21,79.79,7.79,17.04
2018-03-07,755.29,87.96,6.46,13.75
2018-03-08,762.04,93.63,4.17,14.13
2018-03-09,732.46,85.25,4.21,16.13
2018-03-10,776.83,81.71,3.63,16.38
2018-03-11,782.54,78.5,5.13,16.54
2018-03-12,757,77.13,7.17,17.75
2018-03-13,684.29,80.92,11.79,18.96
2018-03-14,651.54,90.29,14.04,19.79
2018-03-15,839,99.42,13.88,17.71
2018-03-16,695.33,97.88,7.08,14.67
2018-03-17,664.21,90.04,7.38,17.13
2018-03-18,733.46,95.33,7.79,15.63
2018-03-19,737.75,99.04,12.5,16.75
2018-03-20,630.33,95.54,8.5,16.83
2018-03-21,563.88,97.79,2,14.79
2018-03-22,586.88,89.88,5.42,16.79
2018-03-23,700.67,88.54,4.42,16.88
2018-03-24,671.58,89.5,7.25,17.88
2018-03-25,667.83,89.29,9.38,18.58
2018-03-26,667.63,89.67,10.5,18.88
2018-03-27,656.96,87.29,11.71,19.38
2018-03-28,650.67,87.29,12.38,19.92
2018-03-29,644.71,89.92,14.75,20.63
2018-03-30,625.42,87.46,15.38,20.46
2018-03-31,615.71,85.71,14.38,20.17
2018-04-01,626.92,90.17,15.25,19
2018-04-02,615.42,88.58,16.79,20.21
2018-04-03,604.67,88.92,17.25,20.67
2018-04-04,564.83,97.54,14.67,18.83
2018-04-05,631.21,97,11.17,15.04
2018-04-06,668.75,90.58,9.5,17.88
2018-04-07,630.25,89.54,4.63,16.17
2018-04-08,655.42,86.33,7.46,18.96
2018-04-09,633.88,85.67,12.67,20.08
2018-04-10,601.17,85.25,15.5,21.13
2018-04-11,590.17,94.63,16.13,21.46
2018-04-12,612.13,98.54,10.42,17.46
2018-04-13,624.04,98.21,12.38,16.83
2018-04-14,664,99.75,11.46,15.79
2018-04-15,605.71,98.75,9.88,18
2018-04-16,597,98.46,9.75,18.38
2018-04-17,607.79,99,12.13,19.21
2018-04-18,582.63,95.38,10.46,17.04
2018-04-19,603.63,98.83,11.75,18.08
2018-04-20,607.67,98.63,16.08,20.25
2018-04-21,610.25,98.92,16.71,20.75
2018-04-22,598.17,99.42,18.17,20
2018-04-23,708.17,100,14.63,17.46
2018-04-24,680.08,99.46,14.71,17.67
2018-04-25,618.75,98.67,15.38,19.83
2018-04-26,594.96,98.96,13.83,18.08
2018-04-27,591.83,99.33,14.17,18.08
2018-04-28,592.08,99.25,15.46,19.33
2018-04-29,528.67,84.83,11.58,14.96
2018-04-30,579,99.38,17.54,20.5
2018-05-01,589.79,99.46,18.42,20.13
2018-05-02,603.54,99.71,16.42,18.25
2018-05-03,567.42,99.21,11.29,15.67
2018-05-04,576.25,99.04,11.83,16.42
2018-05-05,564.96,99.04,15.83,19.46
2018-05-06,564.75,99.96,17.17,19.46
2018-05-07,608.04,99.13,17.67,19.88
2018-05-08,571.33,99,17.46,19.54
2018-05-09,560.08,99.29,15.71,18.46
2018-05-10,571.83,99.21,15.79,19.08
2018-05-11,570.54,99.04,16.54,19.75
2018-05-12,572.79,99.67,17.38,19.25
2018-05-13,559.04,95.29,17.21,20.04
2018-05-14,579.67,98.92,18.88,21.75
2018-05-15,564.17,99.29,21.54,23.38
2018-05-16,526.58,99.25,23.33,23.92
2018-05-17,522.63,99.5,23.46,23.83
2018-05-18,560.75,99.46,20.54,22.13
2018-05-19,533.96,99.08,17.29,19.88
2018-05-20,543.67,99.25,17.33,18.83
2018-05-21,548.38,99.42,17.04,19.17
2018-05-22,578.38,99.38,18.46,20.63
2018-05-23,562.21,98.63,18.58,21.25
2018-05-24,553.79,98.96,17.17,20.08
2018-05-25,562.5,99.29,19,20.63
2018-05-26,548.63,99.13,20.17,22.04
2018-05-27,400.5,72.67,14.09,13.92
2018-05-28,530.63,99.63,19.79,21.08
2018-05-29,516.88,98.17,22.17,22.92
