수집일,내부CO2(ppm),외부습도(%),내부습도(%),강우감지,(양액)총급액(ℓ),(양액)총배액(ℓ),일사량(W/m-2·s),외부온도(도),내부온도(도),지온(도),외부풍향(도),외부풍속(m/s)
2019-10-02,416.71,,86.08,,,,,,19.25,,,
2019-10-03,363.83,,83.92,,,,,,20.83,,,
2019-10-04,379.04,,83.42,,,,,,21.04,,,
2019-10-05,370.13,,83.29,,,,,,18.25,,,
2019-10-06,381.29,,82.04,,,,,,18.5,,,
2019-10-07,389.58,,84.71,,,,,,16.67,,,
2019-10-08,378.42,,81.92,,,,,,17.25,,,
2019-10-09,391.88,,80.96,,,,,,16.21,,,
2019-10-10,408.71,,80.88,,,,,,17.21,,,
2019-10-11,410.63,,80.79,,,,,,18.42,,,
2019-10-12,398.67,,80.58,,,,,,18.21,,,
2019-10-13,399.63,,80.38,,,,,,17.58,,,
2019-10-14,420.96,,81.25,,,,,,16.83,,,
2019-10-15,419.42,,81.5,,,,,,16.04,,,
2019-10-16,434.04,,81.58,,,,,,16.79,,,
2019-10-17,437.71,,82.71,,,,,,16.13,,,
2019-10-18,442.83,,84.88,,,,,,16.71,,,
2019-10-19,417.29,,83.5,,,,,,18.33,,,
2019-10-20,434.33,,82.75,,,,,,17.71,,,
2019-10-21,434.08,,82.25,,,,,,17.54,,,
2019-10-22,424.83,,82.0,,,,,,17.71,,,
2019-10-23,426.46,,83.79,,,,,,17.08,,,
2019-10-24,413.0,,83.46,,,,,,17.92,,,
2019-10-25,412.67,,83.21,,,,,,17.79,,,
2019-10-26,398.29,,82.54,,,,,,16.5,,,
2019-10-27,420.08,,81.67,,,,,,15.42,,,
2019-10-28,428.79,,81.79,,,,,,15.92,,,
2019-10-29,426.17,,81.83,,,,,,16.38,,,
2019-10-30,433.58,,80.96,,,,,,16.04,,,
2019-10-31,574.96,56.0,73.63,0.0,20.0,300.0,126.6,16.7,17.29,-24.0,7.0,1.33
2019-11-01,768.0,64.42,70.54,0.0,20.0,300.0,202.42,16.54,19.58,-24.0,5.96,1.43
2019-11-02,775.58,70.83,75.17,0.0,20.0,300.0,159.38,17.04,20.0,-24.0,6.33,1.0
2019-11-03,778.92,69.96,77.13,0.0,20.0,300.0,139.46,17.29,20.21,-24.0,5.38,1.32
2019-11-04,724.0,67.08,75.13,0.0,20.0,300.0,100.38,15.13,16.96,-24.0,4.13,1.11
2019-11-05,774.17,68.58,71.33,0.0,20.0,300.0,208.58,13.54,16.83,-24.0,6.71,1.5
2019-11-06,760.75,64.13,70.21,0.0,20.0,300.0,211.0,14.21,17.71,-24.0,5.58,1.11
2019-11-07,774.33,63.75,72.5,0.0,20.0,300.0,167.33,13.67,18.71,-24.0,6.71,1.65
2019-11-08,791.46,59.25,72.58,0.0,20.0,300.0,196.13,12.0,20.08,-24.0,7.0,1.39
2019-11-09,756.21,48.88,66.96,0.0,20.0,300.0,203.38,11.71,19.67,-24.0,7.04,1.23
2019-11-10,769.5,64.54,79.46,0.04,20.0,300.0,110.67,12.54,18.92,-24.0,4.04,1.28
2019-11-11,768.88,68.13,73.63,0.0,20.0,300.0,174.88,14.21,19.83,-24.0,6.13,1.77
2019-11-12,783.96,65.75,76.75,0.0,20.0,300.0,179.96,13.17,20.88,-24.0,6.21,1.1
2019-11-13,810.17,66.83,78.5,0.0,20.0,300.0,61.38,12.71,18.04,-24.0,6.08,1.41
