수집일,내부CO2(ppm),내부습도(%),지습(%),강우감지,일사량(W/m-2·s),외부온도(도),내부온도(도),지온(도),외부풍속(m/s)
2020-11-06,,95.0,,,,,17.0,,
2020-11-07,,94.0,,,,,15.0,,
2020-11-08,,92.0,,,,,17.0,,
2020-11-09,,86.0,,,,,15.0,,
2020-11-11,,96.0,,,,,16.0,,
2020-12-02,,,,,,,24.0,,
2020-12-31,380.0,84.08,97.0,0.0,0.0,0.0,13.38,13.0,2.0
2021-01-01,380.0,32.0,,0.0,,0.0,7.0,,0.0
2021-01-02,378.17,29.21,96.87,0.0,103.0,0.88,10.75,15.73,0.72
2021-01-03,390.54,27.88,97.0,0.0,128.0,-1.18,12.29,14.78,0.64
2021-01-04,377.59,27.0,97.0,0.0,163.14,1.6,14.38,17.5,0.78
2021-01-05,407.04,29.88,97.0,0.0,80.22,1.0,9.88,14.94,1.06
2021-01-06,395.96,29.21,96.93,0.0,184.38,-2.12,10.67,16.06,0.93
2021-01-07,392.13,29.67,97.0,0.0,87.33,-4.33,9.83,14.43,2.83
2021-01-08,396.92,26.96,97.0,0.0,207.75,-6.75,11.92,16.64,1.08
2021-01-09,398.35,28.39,97.0,0.0,107.25,-4.86,10.17,15.5,1.08
2021-01-10,398.72,29.0,96.86,0.0,103.7,-3.13,10.83,16.67,0.83
2021-01-11,368.73,29.75,97.0,0.0,117.0,-1.25,12.22,14.5,0.75
2021-01-12,373.92,28.3,96.73,0.0,149.75,-2.09,11.71,14.0,0.71
2021-01-13,370.38,30.61,97.0,0.0,136.0,4.73,12.21,16.5,0.83
2021-01-14,406.8,29.33,97.0,0.0,155.4,5.78,13.71,18.4,0.5
2021-01-15,388.43,31.0,96.91,0.0,70.93,7.56,11.25,16.63,0.81
2021-01-16,388.0,29.25,96.94,0.0,44.18,3.31,10.54,15.78,0.83
2021-01-17,397.57,27.26,96.77,0.0,208.5,-0.38,11.29,15.88,1.33
2021-01-18,386.83,29.88,97.0,0.0,49.56,1.0,10.08,14.79,1.69
2021-01-19,382.04,29.17,97.0,0.0,89.94,-1.19,10.63,15.24,1.0
2021-01-20,387.48,28.22,97.0,0.0,89.63,-2.82,10.57,15.06,0.38
2021-01-21,399.42,31.0,97.0,0.18,157.29,5.0,10.83,14.0,0.07
2021-01-22,422.08,31.63,97.0,0.22,53.1,7.88,11.42,16.45,0.5
2021-01-23,400.88,31.59,97.0,0.33,5.73,10.14,10.63,15.5,2.13
2021-01-24,391.65,32.54,96.91,0.0,113.33,8.78,10.95,15.8,2.4
