수집일,내부CO2(ppm),외부습도(%),내부습도(%),지습(%),외부강우(mm),일사량(W/m-2·s),외부온도(도),내부온도(도),지온(도),외부풍향(도),외부풍속(m/s)
2021-01-20,398.09,,78.57,,,0.0,,,,,
2021-01-21,413.79,,79.88,,,,,,,,
2021-01-22,426.79,,85.71,,,0.0,,,,,
2021-01-23,453.38,,83.52,,,,,,,,
2021-01-24,434.83,,80.58,,,,,,,,
2021-01-25,421.46,,80.0,,,0.0,,,,,
2021-01-26,414.21,,82.91,,,0.0,,,,,
2021-01-27,395.42,,83.25,,,0.0,,,,,
2021-01-28,463.79,,82.42,,,91.1,,,,,
2021-01-29,453.75,,82.08,,,159.95,,,,,
2021-01-30,460.63,,82.5,,,118.4,,,,,
2021-01-31,459.29,,82.67,,,123.48,,,,,
2021-02-01,468.46,,85.58,,,74.58,,,,,
2021-02-02,451.04,,81.58,,,160.06,,,,,
2021-02-03,458.58,,80.75,,,129.0,,,,,
2021-02-04,466.17,,80.42,,,99.1,,,,,
2021-02-05,473.08,76.0,80.71,19.86,1.0,119.88,3.75,,13.63,73.25,0.63
2021-02-06,472.71,76.96,82.0,19.08,1.0,71.21,6.79,,13.83,73.67,0.88
2021-02-07,464.5,71.82,80.92,19.0,1.0,90.36,4.5,,14.71,41.86,1.0
2021-02-08,456.58,41.67,79.29,18.79,1.0,154.67,-1.42,,14.58,45.0,1.83
2021-02-09,461.71,54.42,79.0,20.0,1.0,139.52,-1.05,,13.74,59.35,0.42
2021-02-10,468.58,78.6,80.25,20.37,1.0,90.37,2.21,,14.45,67.44,0.5
2021-02-11,474.54,76.91,80.75,19.5,1.0,133.0,4.81,,15.67,68.83,0.29
2021-02-12,478.5,70.36,79.71,19.0,1.0,169.19,4.1,,17.24,59.8,0.35
2021-02-13,468.38,73.95,78.92,19.0,1.0,154.04,4.68,,17.26,61.32,0.27
2021-02-14,485.21,60.87,82.17,19.0,1.0,99.55,8.18,,15.74,60.46,0.3
2021-02-15,469.58,66.7,82.71,18.7,0.9,64.53,1.89,,14.83,40.71,1.76
2021-02-16,457.25,58.96,81.13,17.9,0.96,93.08,-3.27,,14.38,49.59,1.3
2021-02-17,454.92,45.14,81.29,17.55,1.0,164.29,-6.0,,15.92,43.74,3.09
2021-02-18,457.17,46.78,85.75,17.0,1.0,175.91,-4.25,15.5,17.05,46.32,1.5
2021-02-19,459.83,68.48,97.17,19.26,1.0,149.48,1.5,16.0,16.95,85.0,1.22
2021-02-20,456.42,70.59,97.42,19.58,1.0,168.27,6.9,16.88,17.78,64.41,0.41
2021-02-21,458.63,67.96,97.96,18.61,1.0,163.95,10.32,17.58,19.2,68.65,1.14
2021-02-22,446.92,64.78,97.83,18.21,1.0,145.57,6.78,16.92,18.17,52.0,1.41
2021-02-23,456.67,33.65,95.58,18.95,1.0,110.91,0.95,16.33,16.79,47.21,1.35
2021-02-24,473.75,40.39,96.67,18.81,1.0,153.55,2.57,17.17,18.4,57.91,0.48
2021-02-25,505.79,50.78,97.25,18.81,1.0,66.73,3.27,14.54,15.58,63.17,0.13
2021-02-26,464.13,45.64,96.08,18.05,1.0,172.23,6.63,16.0,17.43,70.17,1.09
2021-02-27,454.33,45.96,97.04,17.54,1.0,187.0,9.17,17.5,18.96,86.75,1.54
2021-02-28,465.79,48.13,98.08,17.25,1.0,84.04,7.75,15.13,16.58,76.33,0.5
2021-03-01,469.17,90.58,98.0,17.04,0.13,18.29,5.63,12.63,14.08,61.0,1.79
2021-03-02,443.92,88.43,95.13,17.36,1.0,142.73,2.41,15.67,16.27,52.36,1.21
2021-03-03,448.25,73.33,93.38,19.75,1.0,178.13,3.38,16.33,17.21,69.75,0.58
2021-03-04,475.08,67.58,95.13,19.21,1.0,128.5,6.58,15.42,16.54,79.0,0.46
2021-03-05,459.0,75.58,95.08,17.83,1.0,198.71,7.25,17.46,18.5,56.58,0.75
2021-03-06,459.75,73.27,96.17,17.0,1.0,148.48,7.39,15.0,17.36,71.05,1.06
2021-03-07,451.08,65.89,95.83,18.39,1.0,199.44,5.91,16.13,17.7,71.9,0.68
2021-03-08,455.58,76.31,94.58,18.43,1.0,202.56,5.95,16.63,18.4,58.53,0.57
2021-03-09,458.88,68.57,96.0,18.0,1.0,178.68,5.17,16.08,17.73,54.36,0.8
2021-03-10,462.0,69.53,95.58,19.05,1.0,176.35,7.2,17.54,18.94,68.29,0.53
2021-03-11,467.42,58.96,97.0,19.0,1.0,177.05,7.22,16.96,18.45,64.32,0.53
2021-03-12,489.75,62.32,99.0,18.77,0.96,99.0,10.04,14.29,16.18,67.65,0.59
2021-03-13,452.38,65.84,96.33,19.55,1.0,210.63,8.2,16.38,17.14,54.2,0.81
2021-03-14,453.71,79.87,97.38,19.0,1.0,194.86,7.27,15.67,17.75,62.14,0.5
2021-03-15,457.0,70.46,97.13,19.0,0.96,162.13,9.63,16.79,18.05,64.86,0.87
2021-03-16,453.5,57.53,96.38,19.55,0.96,242.55,8.25,15.92,18.63,42.8,1.47
2021-03-17,456.25,57.74,68.38,19.61,1.0,218.29,6.39,18.46,18.74,57.83,0.41
2021-03-18,464.46,61.18,51.5,19.0,1.0,201.52,10.2,20.5,19.0,63.91,0.52
2021-03-19,459.75,51.9,52.38,20.42,1.0,208.05,13.95,21.38,18.95,74.88,0.71
2021-03-20,480.46,76.91,52.75,20.0,0.74,28.82,9.67,16.79,16.18,68.92,0.83
2021-03-21,438.21,72.81,51.08,19.85,1.0,180.0,6.38,17.38,16.42,36.1,1.86
2021-03-22,435.54,64.63,49.0,21.27,1.0,220.22,5.39,18.04,17.43,45.05,1.04
2021-03-23,445.21,71.05,51.58,20.53,1.0,246.42,7.44,19.25,18.5,62.76,1.24
2021-03-24,450.54,69.32,51.75,21.41,1.0,229.9,9.05,19.21,18.13,62.58,1.0
2021-03-25,457.71,73.48,51.79,21.1,1.0,228.24,10.91,19.29,17.95,56.75,0.68
2021-03-26,456.13,65.3,52.42,21.67,1.0,197.0,11.42,19.54,17.83,63.27,0.5
2021-03-27,465.17,75.78,52.38,22.58,0.45,53.3,10.96,15.83,15.17,86.17,1.13
2021-03-28,445.0,99.6,52.83,22.0,0.8,29.83,9.52,15.88,14.94,60.79,1.5
2021-03-29,438.42,77.04,51.08,21.38,1.0,243.81,10.53,18.33,16.09,36.55,1.21
2021-03-30,452.25,58.68,49.75,22.38,1.0,314.68,8.74,19.33,17.63,56.86,0.79
2021-03-31,457.13,53.91,50.29,21.08,1.0,246.14,12.04,21.38,19.09,57.96,0.46
2021-04-01,450.46,43.05,49.75,22.78,1.0,240.61,16.21,21.71,19.17,88.86,1.71
2021-04-02,431.58,32.18,50.46,21.91,1.0,151.55,18.1,21.5,18.96,81.79,1.32
2021-04-03,448.58,80.19,53.46,21.0,0.48,20.52,15.79,18.88,17.42,74.39,0.73
2021-04-04,440.54,78.27,50.75,22.41,0.95,198.16,12.67,18.54,17.0,65.17,1.81
2021-04-05,433.29,57.26,48.21,23.82,1.0,271.42,10.22,21.25,18.54,57.5,0.82
2021-04-06,446.33,61.08,50.29,23.75,1.0,261.25,11.96,19.54,19.0,51.5,0.71
2021-04-07,442.75,60.33,50.42,23.83,1.0,264.79,11.92,19.92,19.13,54.5,0.63
2021-04-08,446.58,50.08,50.79,23.83,1.0,271.54,11.67,19.71,19.17,53.58,0.92
2021-04-09,446.42,47.04,51.04,23.96,1.0,257.13,12.17,20.08,19.13,68.88,0.92
2021-04-10,451.75,51.0,51.96,24.75,1.0,261.96,12.25,18.96,18.63,68.58,0.96
2021-04-11,454.54,57.04,52.04,25.58,1.0,255.71,13.5,20.88,19.17,59.79,0.5
2021-04-12,498.0,63.0,56.46,25.0,1.0,0.0,13.0,20.63,18.0,60.5,0.0
2021-04-13,427.08,99.75,52.13,22.08,0.83,227.54,10.33,18.13,17.83,35.64,1.65
2021-04-14,422.92,86.8,51.46,23.5,1.0,0.0,7.11,19.08,17.33,61.5,1.22
2021-04-15,436.67,67.74,52.25,23.92,1.0,281.42,10.63,18.83,18.04,61.46,0.65
2021-04-16,446.75,72.17,55.38,25.6,1.0,105.82,11.75,16.54,16.57,60.2,0.64
2021-04-17,438.0,64.29,53.42,25.21,1.0,160.67,9.29,17.08,16.31,51.17,1.19
2021-04-18,421.04,67.5,51.96,24.0,1.0,246.5,9.69,17.79,17.71,38.73,1.62
2021-04-19,438.79,71.58,51.54,24.39,1.0,285.38,10.79,18.96,18.17,54.58,0.83
2021-04-20,445.71,56.25,52.25,24.4,1.0,230.88,13.24,20.83,18.53,54.89,0.73
2021-04-21,454.04,49.57,52.75,23.91,1.0,288.26,17.57,23.92,20.74,60.33,0.43
2021-04-22,452.88,39.22,80.54,25.19,1.0,171.26,20.5,20.54,21.27,59.58,0.81
2021-04-23,429.17,34.5,99.04,23.0,1.0,149.65,20.55,16.67,20.52,78.35,1.9
2021-04-24,438.58,42.56,95.54,22.0,1.0,100.25,16.75,15.54,18.44,68.0,0.43
2021-04-25,449.65,48.0,100.13,21.33,1.0,369.83,20.36,17.29,23.67,62.4,1.27
2021-04-26,432.25,52.9,98.71,22.83,1.0,240.38,16.45,15.13,19.78,70.13,1.13
2021-04-27,439.21,66.08,98.75,24.06,1.0,117.06,15.05,13.46,18.11,60.5,0.81
2021-04-28,431.92,73.59,97.96,26.22,0.95,206.41,14.05,13.83,18.36,48.88,0.85
2021-04-29,430.17,62.22,98.38,24.73,0.95,213.05,14.0,14.13,18.3,61.2,0.92
2021-04-30,409.71,94.5,98.83,23.62,0.77,124.13,10.81,11.0,17.0,51.78,1.04
2021-05-01,434.33,82.9,97.63,24.86,0.95,220.26,11.0,10.67,16.44,46.95,1.33
