조사일,주차,생장길이(cm),화방높이(cm),줄기굵기(mm),엽장(cm),엽폭(cm),엽수(개),개화군(점),착과군(점),열매수(개),최종화방번호(번)
2021-02-18,5,85.0,29.0,3.0,126.0,103.0,6.0,0.0,0.0,0.0,1.0
2021-02-25,6,131.0,118.0,7.0,175.0,155.0,8.0,0.0,0.0,0.0,1.0
2021-03-04,7,103.0,116.0,7.0,206.0,180.0,9.0,1.0,1.0,3.0,2.0
2021-03-11,8,125.0,130.0,9.0,285.0,263.0,9.0,1.0,1.0,6.0,2.0
2021-03-18,9,124.0,88.0,10.0,303.0,254.0,10.0,2.0,1.0,10.0,3.0
2021-03-25,10,161.0,63.0,9.0,276.0,201.0,12.0,3.0,2.0,17.0,4.0
2021-03-31,11,105.0,61.0,10.0,265.0,201.0,13.0,4.0,2.0,25.0,5.0
2021-04-08,12,130.0,94.0,8.0,240.0,184.0,14.0,4.0,3.0,36.0,5.0
2021-04-14,13,133.0,60.0,7.0,173.0,119.0,9.0,5.0,4.0,47.0,6.0
2021-04-21,14,150.0,85.0,5.0,139.0,110.0,10.0,6.0,5.0,50.0,7.0
2021-04-29,15,185.0,90.0,5.0,148.0,120.0,12.0,8.0,7.0,68.0,8.0
2021-05-06,16,133.0,95.0,5.0,149.0,126.0,15.0,8.0,7.0,62.0,9.0
2021-05-13,17,110.0,29.0,4.0,125.0,80.0,18.0,8.0,7.0,65.0,9.0
2021-05-19,18,85.0,34.0,6.0,184.0,138.0,17.0,8.0,7.0,89.0,9.0
2021-05-26,19,18.0,35.0,6.0,183.0,125.0,18.0,8.0,8.0,97.0,9.0
2021-06-02,20,18.0,41.0,6.0,190.0,144.0,18.0,9.0,8.0,76.0,9.0
2021-06-09,21,13.0,42.0,6.0,191.0,144.0,18.0,9.0,9.0,82.0,9.0
2021-06-16,22,20.0,42.0,6.0,194.0,148.0,18.0,9.0,9.0,68.0,9.0
