수집일,내부CO2(ppm),이슬점온도(도),내부습도(%),일사량(W/m-2·s),외부온도(도),내부온도(도),지온(도),외부풍향(도),외부풍속(m/s)
2022-03-20,587.5,13.87,99.88,190.13,5.96,11.33,13.22,207.39,0.7
2022-03-21,587.63,17.83,99.92,195.78,7.48,14.46,18.3,207.39,1.43
2022-03-22,578.17,19.13,100.04,236.91,9.17,15.83,19.87,230.87,1.3
2022-03-23,595.58,19.13,99.96,187.65,8.09,15.25,19.57,215.22,1.09
2022-03-24,590.29,19.7,99.96,247.04,8.13,15.88,20.22,176.09,1.0
2022-03-25,584.33,19.43,99.96,129.39,11.61,17.08,19.52,168.26,2.22
2022-03-26,554.17,21.96,100.08,205.52,15.04,19.46,21.65,152.61,3.04
2022-03-27,584.79,18.43,88.46,254.13,12.39,18.75,22.09,152.61,1.17
2022-03-28,563.79,10.65,72.29,212.3,9.13,16.38,21.22,183.91,1.87
2022-03-29,581.79,10.39,71.08,278.43,9.22,16.67,21.57,176.09,1.48
2022-03-30,604.42,14.96,80.08,191.39,11.65,17.88,21.57,176.09,0.96
2022-03-31,622.25,15.96,83.25,177.04,12.48,17.92,22.09,160.43,1.35
2022-04-01,592.79,12.95,78.83,256.47,10.11,16.71,21.89,175.26,1.89
2022-04-02,603.17,13.17,75.54,283.39,10.09,17.42,21.7,113.48,1.22
2022-04-03,606.83,12.13,74.33,278.87,9.78,17.17,21.26,183.91,2.13
2022-04-04,626.63,12.96,75.46,283.78,10.87,17.58,21.52,176.09,1.48
2022-04-05,633.0,12.61,76.21,244.65,11.65,18.17,21.74,160.43,1.43
2022-04-06,623.63,13.78,76.0,270.91,13.52,19.21,22.61,121.3,1.13
2022-04-07,642.29,15.13,79.21,253.35,13.83,19.21,22.52,160.43,0.52
2022-04-08,636.54,13.91,77.79,285.3,12.83,18.5,22.26,152.61,2.13
2022-04-09,635.08,15.3,78.75,276.3,15.91,20.42,23.0,97.83,2.17
2022-04-10,616.38,18.43,83.63,287.04,17.61,21.54,23.83,90.0,1.78
2022-04-11,642.71,19.52,88.5,183.57,17.13,20.83,23.39,129.13,1.57
2022-04-12,636.5,20.22,87.83,256.04,18.7,22.17,24.65,90.0,2.17
2022-04-13,635.96,19.3,94.0,71.26,15.83,19.0,22.52,176.09,1.7
2022-04-14,580.29,17.08,90.71,133.54,12.21,17.29,20.83,270.0,2.92
2022-04-15,593.79,16.5,86.04,241.04,12.54,18.08,21.54,202.5,2.67
2022-04-16,629.88,15.13,83.13,274.08,11.79,17.25,21.33,180.0,2.25
2022-04-17,647.54,15.13,81.96,293.08,12.88,17.88,21.25,172.5,1.33
2022-04-18,667.96,16.54,84.88,231.67,15.29,18.88,21.21,225.0,0.92
2022-04-19,653.46,15.08,81.71,280.96,16.38,19.58,21.46,172.5,1.71
2022-04-20,653.0,16.21,83.08,291.0,15.75,19.38,21.63,165.0,1.21
2022-04-21,660.04,18.29,95.88,73.17,12.54,17.04,20.46,157.5,0.29
2022-04-22,627.88,17.58,87.67,276.58,16.58,19.58,20.88,90.0,2.08
2022-04-23,646.17,19.0,91.88,171.52,17.57,20.0,21.91,152.61,0.83
2022-04-24,666.13,20.42,89.17,284.33,18.75,21.79,23.63,180.0,1.46
2022-04-25,678.88,19.79,90.79,220.75,18.67,20.92,22.46,187.5,1.46
2022-04-26,661.5,20.13,98.67,19.88,17.54,19.58,21.54,142.5,0.92
2022-04-27,593.71,18.38,90.63,269.46,17.5,19.83,21.5,187.5,1.5
2022-04-28,610.08,18.55,90.71,261.59,16.45,19.21,21.77,163.64,1.09
2022-04-29,595.83,17.5,93.13,160.21,12.25,16.83,21.33,270.0,1.67
2022-04-30,602.29,17.42,91.08,228.92,13.54,18.21,20.75,172.5,0.96
