,수집일,내부CO2(ppm),내부습도(%),일사량(W/m-2·s),외부온도(도),내부온도(도),열매수,내부질소(t ha-1),내부인(t ha-1)
0,2018-07-21,421.63,78.46,297.5,29.08,30.46,0,0,0
1,2018-07-22,410.08,70.58,284.0,30.13,31.58,0,0,0
2,2018-07-23,381.33,71.17,314.92,29.67,31.29,0,0,0
3,2018-07-24,380.54,76.58,320.33,29.75,31.17,0,0,0
4,2018-07-25,372.25,78.83,249.04,28.96,30.5,0,0,0
5,2018-07-26,396.96,79.83,291.83,28.67,30.29,0,0,0
6,2018-07-27,401.71,77.83,307.04,29.13,30.92,0,0,0
7,2018-07-28,394.04,80.83,283.38,28.83,30.38,0,0,0
8,2018-07-29,380.33,70.67,305.08,29.83,31.42,0,0,0
9,2018-07-30,360.17,66.5,282.54,30.25,31.42,0,0,0
10,2018-07-31,380.29,73.5,315.33,29.21,31.04,0,0,0
11,2018-08-01,396.67,73.21,321.88,30.13,31.88,0,0,0
12,2018-08-02,399.13,73.75,307.58,30.58,32.13,0,0,0
13,2018-08-03,387.67,67.17,312.58,30.96,32.58,0,0,0
14,2018-08-04,393.17,76.79,299.96,29.13,30.96,0,0,0
15,2018-08-05,388.0,79.88,271.29,28.88,30.46,0,0,0
16,2018-08-06,399.88,77.88,309.13,29.21,31.04,0,0,0
17,2018-08-07,391.21,79.08,269.63,29.5,31.17,0,0,0
18,2018-08-08,381.67,76.75,296.54,29.63,31.25,0,0,0
19,2018-08-09,398.63,76.71,307.17,29.17,30.88,0,0,0
20,2018-08-10,393.04,80.08,263.38,29.33,31.13,0,0,0
21,2018-08-11,380.54,77.71,229.79,29.21,30.63,0,0,0
22,2018-08-12,385.13,79.88,205.5,28.75,29.79,0,0,0
23,2018-08-13,405.79,78.33,280.96,29.96,31.29,0,0,0
24,2018-08-14,407.75,74.96,308.25,30.04,31.25,0,0,0
25,2018-08-15,399.96,74.46,307.46,29.54,31.29,0,0,0
26,2018-08-16,375.54,77.5,228.0,28.63,29.88,0,0,0
27,2018-08-17,339.83,65.38,320.75,26.79,27.96,0,0,0
28,2018-08-18,349.33,71.67,319.92,24.63,26.21,0,0,0
29,2018-08-19,362.33,73.67,299.3,25.87,27.29,0,0,0
30,2018-08-20,381.71,81.38,34.22,23.78,26.33,0,0,0
31,2018-08-21,364.21,80.46,167.58,27.33,26.58,0,0,0
32,2018-08-22,354.0,72.17,278.96,29.29,30.25,0,0,0
33,2018-08-23,363.33,85.25,58.96,26.96,27.42,0,0,0
34,2018-08-24,360.29,90.79,118.25,24.88,26.25,0,0,0
35,2018-08-25,354.58,83.33,164.33,24.92,25.96,0,0,0
36,2018-08-26,345.67,93.21,47.21,21.33,22.83,0,0,0
37,2018-08-27,385.54,97.79,43.79,24.13,25.42,0,0,0
38,2018-08-28,364.46,91.5,163.13,26.33,27.25,0,0,0
39,2018-08-29,373.08,85.17,272.0,26.75,27.67,0,0,0
40,2018-08-30,359.42,93.75,94.38,25.75,26.67,0,0,0
41,2018-08-31,369.67,92.58,106.08,23.0,24.33,0,0,0
42,2018-09-01,364.5,83.71,234.88,25.0,25.83,0,0,0
43,2018-09-02,351.33,82.96,210.38,23.75,24.75,0,0,0
44,2018-09-03,363.08,88.58,158.92,25.58,26.63,0,0,0
45,2018-09-04,360.54,85.79,299.13,23.83,25.25,0,0,0
46,2018-09-05,357.92,81.83,306.13,23.29,24.42,0,0,0
47,2018-09-06,345.46,84.88,148.04,23.54,24.21,0,0,0
48,2018-09-07,340.0,85.67,160.54,21.67,22.46,0,0,0
49,2018-09-08,372.08,78.88,290.5,20.13,21.38,0,0,0
50,2018-09-09,380.13,81.71,299.58,19.88,21.38,0,0,0
51,2018-09-10,378.46,80.46,286.38,20.96,21.92,0,0,0
52,2018-09-11,346.67,81.21,216.13,19.46,20.5,0,0,0
53,2018-09-12,346.38,82.58,302.87,20.83,21.88,0,0,0
54,2018-09-13,357.33,90.79,125.53,21.94,21.88,0,0,0
55,2018-09-14,338.25,92.0,102.04,21.75,22.33,0,0,0
56,2018-09-15,355.63,91.38,119.46,23.33,23.83,0,0,0
57,2018-09-16,389.21,92.13,107.0,23.08,23.67,0,0,0
58,2018-09-17,368.79,87.21,227.54,21.75,22.75,0,0,0
59,2018-09-18,389.88,84.46,273.63,20.46,21.88,0,0,0
60,2018-09-19,391.83,84.92,118.46,21.04,21.46,0,0,0
61,2018-09-20,359.33,91.96,104.38,21.17,21.96,0,0,0
62,2018-09-21,362.58,96.38,67.13,19.92,21.17,0,0,0
63,2018-09-22,381.25,86.79,235.33,20.5,21.38,0,0,0
64,2018-09-23,373.46,88.46,194.75,18.75,19.67,0,0,0
65,2018-09-24,364.38,85.38,222.63,16.92,18.38,0,0,0
66,2018-09-25,357.67,83.75,278.17,16.04,18.33,0,0,0
67,2018-09-26,324.75,84.96,213.17,18.25,19.25,0,0,0
68,2018-09-27,328.04,84.42,271.83,17.83,19.0,0,0,0
69,2018-09-28,327.13,89.5,110.92,17.38,17.96,0,0,0
70,2018-09-29,332.13,85.83,258.25,19.17,20.13,0,0,0
71,2018-09-30,331.29,86.21,250.42,17.88,19.17,0,0,0
72,2018-10-01,326.04,89.58,171.92,16.38,18.38,0,0,0
