,수집일,내부CO2(ppm),내부습도(%),일사량(W/m-2·s),외부온도(도),내부온도(도),내부질소(t ha-1),내부인(t ha-1),생장길이(cm),열매수
0,2018-10-14,389.0,90.92,215.63,12.33,17.92,0,0,3063,101
1,2018-10-16,403.33,94.0,109.38,13.17,17.33,0,0,3063,101
2,2018-12-26,419.04,83.96,124.04,2.54,17.13,0,0,903,7
3,2019-01-08,452.67,87.42,109.92,-0.92,15.54,0,0,328,20
4,2019-01-15,430.88,91.5,87.83,0.79,15.71,0,0,177,31
5,2019-01-22,450.58,88.04,154.75,1.71,17.0,0,0,173,45
6,2019-01-29,474.88,87.04,180.63,-1.25,17.0,0,0,225,61
7,2019-02-12,506.04,90.83,154.04,-0.5,17.21,0,0,225,97
8,2019-02-19,507.46,97.25,16.18,2.36,17.08,0,0,240,116
9,2019-02-26,449.54,89.0,212.04,3.17,18.71,0,0,246,130
10,2019-03-05,455.29,93.71,125.63,6.38,17.54,0,0,238,157
11,2019-03-12,442.79,94.5,123.71,5.29,17.5,0,0,281,169
12,2019-03-19,428.21,90.58,222.92,7.88,19.29,0,0,318,163
13,2019-03-26,410.67,89.33,227.54,7.38,18.96,0,0,267,127
14,2019-04-02,428.42,93.25,292.54,5.83,20.38,0,0,288,149
15,2019-04-09,482.83,94.67,128.42,10.96,18.21,0,0,241,134
16,2019-04-16,421.96,90.83,261.46,12.63,20.5,0,0,289,126
17,2019-04-23,472.29,96.38,84.92,16.96,18.92,0,0,255,117
18,2019-12-16,787.63,79.79,140.96,8.38,16.38,0,0,98,11
19,2019-12-23,719.42,81.63,148.67,5.33,16.08,0,0,139,14
20,2019-12-30,736.54,86.46,126.17,8.75,16.88,0,0,59,14
21,2020-01-06,784.96,91.42,18.67,5.29,13.04,0,0,36,16
22,2020-01-13,712.29,81.08,230.53,3.07,15.71,0,0,28,17
23,2021-01-06,395.96,29.21,184.38,-2.12,10.67,0,0,3124,13
24,2021-01-13,370.38,30.61,136.0,4.73,12.21,0,0,125,11
25,2021-01-20,387.48,28.22,89.63,-2.82,10.57,0,0,230,10
26,2021-01-27,371.71,31.08,50.58,4.0,10.83,0,0,198,12
27,2021-02-03,381.88,29.08,148.88,-0.79,10.58,0,0,167,12
28,2021-02-10,380.71,27.17,187.05,3.5,10.58,0,0,192,13
29,2021-02-17,380.0,27.92,174.71,-2.52,10.08,0,0,190,13
30,2021-02-24,390.08,29.46,149.62,3.67,10.83,0,0,190,14
31,2021-03-03,380.0,28.13,186.04,4.04,10.96,0,0,212,13
32,2021-03-04,380.0,30.88,40.92,5.5,9.5,0,0,103,3
33,2021-03-10,379.5,27.58,0.0,9.45,11.58,0,0,175,14
34,2021-03-11,375.92,28.17,0.0,8.58,11.46,0,0,125,6
