,수집일,내부CO2(ppm),내부습도(%),외부온도(도),내부온도(도),내부질소(t ha-1),내부인(t ha-1),생장길이(cm),열매수
0,2018-10-14,389,90.92,12.33,17.92,2.6,101.49,3063,101
1,2018-10-16,403.33,94,13.17,17.33,2.56,72.01,3063,101
2,2018-12-26,419.04,83.96,2.54,17.13,6.59,398.19,903,7
3,2019-01-08,452.67,87.42,-0.92,15.54,3.01,163.54,328,20
4,2019-01-15,430.88,91.5,0.79,15.71,2.97,155.55,177,31
5,2019-01-22,450.58,88.04,1.71,17,2.94,143.77,173,45
6,2019-01-29,474.88,87.04,-1.25,17,2.9,139.21,225,61
7,2019-02-12,506.04,90.83,-0.5,17.21,2.62,103,225,97
8,2019-02-19,507.46,97.25,2.36,17.08,2.53,92.65,240,116
9,2019-02-26,449.54,89,3.17,18.71,2.12,103,246,130
10,2019-03-05,455.29,93.71,6.38,17.54,1.97,64.74,238,157
11,2019-03-12,442.79,94.5,5.29,17.5,1.92,50.45,281,169
12,2019-03-19,428.21,90.58,7.88,19.29,1.82,63.72,318,163
13,2019-03-26,410.67,89.33,7.38,18.96,2.18,83.27,267,127
14,2019-04-02,428.42,93.25,5.83,20.38,2,64.2,288,149
15,2019-04-09,482.83,94.67,10.96,18.21,2.1,72.09,241,134
16,2019-04-16,421.96,90.83,12.63,20.5,2.23,83.46,289,126
17,2019-04-23,472.29,96.38,16.96,18.92,2.47,126.17,255,117
18,2019-12-16,787.63,79.79,8.38,16.38,5.6,396.64,98,11
19,2019-12-23,719.42,81.63,5.33,16.08,3.89,221.77,139,14
20,2019-12-30,736.54,86.46,8.75,16.88,3.92,221.28,59,14
21,2020-01-06,784.96,91.42,5.29,13.04,3.36,198.45,36,16
22,2020-01-13,712.29,81.08,3.07,15.71,3.12,206.19,28,17
23,2021-01-06,395.96,29.21,-2.12,10.67,4.68,397.83,3124,13
24,2021-01-13,370.38,30.61,4.73,12.21,6.05,397.74,125,11
25,2021-01-20,387.48,28.22,-2.82,10.57,6.36,397.9,230,10
26,2021-01-27,371.71,31.08,4,10.83,5.68,396.12,198,12
27,2021-02-03,381.88,29.08,-0.79,10.58,5.55,381.93,167,12
28,2021-02-10,380.71,27.17,3.5,10.58,4.61,306.15,192,13
29,2021-02-17,380,27.92,-2.52,10.08,4.86,308.03,190,13
30,2021-02-24,390.08,29.46,3.67,10.83,4.14,230.38,190,14
31,2021-03-03,380,28.13,4.04,10.96,4.92,310.03,212,13
32,2021-03-04,380,30.88,5.5,9.5,6.79,398.62,103,3
33,2021-03-10,379.5,27.58,9.45,11.58,4.32,233.83,175,14
34,2021-03-11,375.92,28.17,8.58,11.46,6.86,398.23,125,6
35,2021-03-17,415.54,28.67,13.83,13.58,3.43,206.75,204,16
36,2021-03-18,416.29,28.79,14.09,13,6.25,397.83,124,10
37,2021-03-24,399.96,28.29,11.85,12.42,3.82,221.1,213,15
38,2021-03-25,458.71,26.83,12.48,13,3.16,188.55,161,17
39,2021-03-31,461.46,26.88,10.22,12.71,2.97,160.54,105,25
40,2021-04-07,447.5,27.17,14.42,12.88,3.79,219.91,193,15
41,2021-04-08,447.04,28.67,13.42,12.92,2.96,155.59,130,36
42,2021-04-14,438.83,24.67,8.5,11.88,2.97,140.63,133,47
43,2021-04-21,438.96,25.79,16.9,12.71,2.96,140.06,150,50
44,2021-04-28,434.21,26.83,17.52,13,3.96,228.54,202,14
45,2021-04-29,426.96,25.83,17.09,13.08,2.7,124.92,185,68
46,2021-05-06,418.38,27.63,8.5,10.96,2.76,138.71,133,62
47,2021-05-13,411.67,27.67,20.19,15.33,2.73,129.16,110,65
48,2021-05-19,419.46,29.08,16.63,14.67,2.55,107.87,85,89
49,2021-05-21,402.54,30.21,17.88,12.54,3.75,221.22,239,15
50,2021-05-26,398.42,29.42,16.42,12.25,2.61,103.19,18,97
51,2021-05-27,401.96,30.88,17,12.92,3.69,207.68,255,16
52,2021-06-02,402.21,30.42,21.61,14.88,2.64,92.65,18,76
53,2021-06-03,404.75,32.5,18.36,13.25,3.55,207.35,86,16
