,수집일,내부CO2(ppm),내부습도(%),외부온도(도),내부온도(도),내부질소(t ha-1),내부인(t ha-1),열매수
0,2017-03-12,380,88.63,6.96,17.96,4.96,332.54,13
1,2017-03-19,379.46,93.13,7.88,17.92,5.65,381.02,13
2,2017-03-26,378.96,96.83,7.13,15.96,3.02,176.58,19
3,2017-04-02,380,93.79,8.54,18,5.26,332.28,13
4,2017-04-09,380,87.54,16.29,20.71,2.99,166.58,19
5,2017-04-16,380,84.46,18.75,22.42,3.73,219.85,16
6,2017-04-23,380,88.92,13,19.58,4.24,233.28,14
7,2017-04-30,380,80.58,18.33,21.83,3.2,191.15,17
8,2017-05-07,380,83,18.63,21.63,3.77,221.27,15
9,2017-05-14,380,87.58,18.71,21.33,3.08,184.2,18
10,2017-05-21,380,88.54,20.58,23.21,3.29,198.36,17
11,2017-12-24,711.33,99.75,6.79,16.29,1.85,50.3,393
12,2017-12-31,655.67,74.33,3.63,15.13,2.81,129.42,63
13,2018-01-07,925.71,80.33,0.83,14.96,2.95,146.27,38
14,2018-01-14,950.13,75.33,-0.88,16.25,2.94,139.35,54
15,2018-01-21,827.42,77.08,0.83,14.75,2.66,124.88,75
16,2018-01-28,664.71,82.83,-1,16.29,2.18,89.63,125
17,2018-02-04,666.88,89.17,-5.38,15.75,2.63,107.99,84
18,2018-02-11,681.42,92.25,-2.17,14.38,2.93,139.17,55
19,2018-02-18,660.67,90.25,1.83,14.88,2.53,97.65,115
20,2018-02-25,658.38,88.83,5.04,16.29,2.51,89.69,119
21,2018-03-04,712.83,91.75,12.58,16.83,2.67,97.82,113
22,2018-03-11,782.54,78.5,5.13,16.54,1.93,63.69,164
23,2018-10-14,389,90.92,12.33,17.92,2.6,101.49,101
24,2018-10-16,403.33,94,13.17,17.33,2.56,72.01,101
25,2018-12-26,419.04,83.96,2.54,17.13,6.59,398.19,7
26,2019-01-08,452.67,87.42,-0.92,15.54,3.01,163.54,20
27,2019-01-15,430.88,91.5,0.79,15.71,2.97,155.55,31
28,2019-01-22,450.58,88.04,1.71,17,2.94,143.77,45
29,2019-01-29,474.88,87.04,-1.25,17,2.9,139.21,61
30,2019-02-12,506.04,90.83,-0.5,17.21,2.62,103,97
31,2019-02-19,507.46,97.25,2.36,17.08,2.53,92.65,116
32,2019-02-26,449.54,89,3.17,18.71,2.12,103,130
33,2019-03-05,455.29,93.71,6.38,17.54,1.97,64.74,157
34,2019-03-12,442.79,94.5,5.29,17.5,1.92,50.45,169
35,2019-03-19,428.21,90.58,7.88,19.29,1.82,63.72,163
36,2019-03-26,410.67,89.33,7.38,18.96,2.18,83.27,127
37,2019-04-02,428.42,93.25,5.83,20.38,2,64.2,149
38,2019-04-09,482.83,94.67,10.96,18.21,2.1,72.09,134
39,2019-04-16,421.96,90.83,12.63,20.5,2.23,83.46,126
40,2019-04-23,472.29,96.38,16.96,18.92,2.47,126.17,117
41,2019-12-16,787.63,79.79,8.38,16.38,5.6,396.64,11
42,2019-12-23,719.42,81.63,5.33,16.08,3.89,221.77,14
43,2019-12-30,736.54,86.46,8.75,16.88,3.92,221.28,14
44,2020-01-06,784.96,91.42,5.29,13.04,3.36,198.45,16
45,2020-01-13,712.29,81.08,3.07,15.71,3.12,206.19,17
46,2021-01-06,395.96,29.21,-2.12,10.67,4.68,397.83,13
47,2021-01-13,370.38,30.61,4.73,12.21,6.05,397.74,11
48,2021-01-20,387.48,28.22,-2.82,10.57,6.36,397.9,10
49,2021-01-27,371.71,31.08,4,10.83,5.68,396.12,12
50,2021-02-03,381.88,29.08,-0.79,10.58,5.55,381.93,12
51,2021-02-10,380.71,27.17,3.5,10.58,4.61,306.15,13
52,2021-02-17,380,27.92,-2.52,10.08,4.86,308.03,13
53,2021-02-24,390.08,29.46,3.67,10.83,4.14,230.38,14
54,2021-03-03,380,28.13,4.04,10.96,4.92,310.03,13
55,2021-03-04,380,30.88,5.5,9.5,6.79,398.62,3
56,2021-03-10,379.5,27.58,9.45,11.58,4.32,233.83,14
57,2021-03-11,375.92,28.17,8.58,11.46,6.86,398.23,6
58,2021-03-17,415.54,28.67,13.83,13.58,3.43,206.75,16
59,2021-03-18,416.29,28.79,14.09,13,6.25,397.83,10
60,2021-03-24,399.96,28.29,11.85,12.42,3.82,221.1,15
61,2021-03-25,458.71,26.83,12.48,13,3.16,188.55,17
62,2021-03-31,461.46,26.88,10.22,12.71,2.97,160.54,25
63,2021-04-07,447.5,27.17,14.42,12.88,3.79,219.91,15
64,2021-04-08,447.04,28.67,13.42,12.92,2.96,155.59,36
65,2021-04-14,438.83,24.67,8.5,11.88,2.97,140.63,47
66,2021-04-21,438.96,25.79,16.9,12.71,2.96,140.06,50
67,2021-04-28,434.21,26.83,17.52,13,3.96,228.54,14
68,2021-04-29,426.96,25.83,17.09,13.08,2.7,124.92,68
69,2021-05-06,418.38,27.63,8.5,10.96,2.76,138.71,62
70,2021-05-13,411.67,27.67,20.19,15.33,2.73,129.16,65
71,2021-05-19,419.46,29.08,16.63,14.67,2.55,107.87,89
72,2021-05-21,402.54,30.21,17.88,12.54,3.75,221.22,15
73,2021-05-26,398.42,29.42,16.42,12.25,2.61,103.19,97
74,2021-05-27,401.96,30.88,17,12.92,3.69,207.68,16
75,2021-06-02,402.21,30.42,21.61,14.88,2.64,92.65,76
76,2021-06-03,404.75,32.5,18.36,13.25,3.55,207.35,16
77,2021-06-09,397.83,31.08,23.26,16.42,2.65,113.17,82
78,2021-06-10,398.5,31.75,21.63,15.33,3.97,230.19,14
79,2021-06-16,390.83,32.29,21.47,14.71,2.75,126.17,68
80,2021-06-16,378.58,98.42,25.55,23.21,2.71,126.72,68
81,2022-04-13,635.96,94,15.83,19,6.48,398.3,7
82,2022-04-20,653,83.08,15.75,19.38,6.34,398.1,9
83,2022-04-27,593.71,90.63,17.5,19.83,5.72,397.27,11
84,2022-05-04,582.21,78.79,15.43,17.54,4.39,285.38,13
85,2022-05-11,672.13,94.79,18.29,20.17,3.25,206.19,16
86,2022-05-18,621.5,89.08,20.33,21.13,3.92,228.24,14
87,2022-05-25,621.25,98.63,21.46,22.42,4.42,235.21,13
88,2022-06-08,529.25,99.92,17.67,18.92,5.68,306.15,11
